Timestamp: Tue Jul 30 10:43:08 UTC 2024
------------------------------------------------------------------------------------------------------------
# Test suite: DataPoint

| Test name                                | Pass  | Fail  | Total | Pass  % | Perf (ms) | Mem (B)          |
|:-----------------------------------------|------:|------:|------:|--------:|----------:|-----------------:|
| datapoint_scalar_constructor             | 10000 |     0 | 10000 | 100.00% |      0.00 |           -92.45 |
| datapoint_array_constructor              | 10000 |     0 | 10000 | 100.00% |      0.00 |            17.38 |
| datapoint_datapoint_constructor          | 10000 |     0 | 10000 | 100.00% |      0.00 |           -17.45 |
| datapoint_scalar_jump                    | 10000 |     0 | 10000 | 100.00% |      0.00 |           -75.62 |
| datapoint_array_jump                     | 10000 |     0 | 10000 | 100.00% |      0.00 |          -180.68 |
| datapoint_datapoint_jump                 | 10000 |     0 | 10000 | 100.00% |      0.00 |            15.22 |
| datapoint_scalar_move                    | 10000 |     0 | 10000 | 100.00% |      0.00 |           -57.34 |
| datapoint_array_move                     | 10000 |     0 | 10000 | 100.00% |      0.00 |           -85.31 |
| datapoint_datapoint_move                 | 10000 |     0 | 10000 | 100.00% |      0.00 |            28.20 |
| datapoint_scalar_scale                   | 10000 |     0 | 10000 | 100.00% |      0.00 |           -57.10 |
| datapoint_array_scale                    | 10000 |     0 | 10000 | 100.00% |      0.00 |           -74.27 |
| datapoint_datapoint_scale                | 10000 |     0 | 10000 | 100.00% |      0.00 |            28.71 |
| datapoint_array_euclidean_distance       | 10000 |     0 | 10000 | 100.00% |      0.00 |            17.63 |
| datapoint_datapoint_euclidean_distance   | 10000 |     0 | 10000 | 100.00% |      0.00 |            32.56 |
| datapoint_array_euclidean_distances      | 10000 |     0 | 10000 | 100.00% |      0.02 |            -8.23 |
| datapoint_datapoint_euclidean_distances  | 10000 |     0 | 10000 | 100.00% |      2.17 |          1888.56 |
------------------------------------------------------------------------------------------------------------
# Test suite: Cluster

| Test name                                | Pass  | Fail  | Total | Pass  % | Perf (ms) | Mem (B)          |
|:-----------------------------------------|------:|------:|------:|--------:|----------:|-----------------:|
| cluster_scalar_constructor               | 10000 |     0 | 10000 | 100.00% |      0.00 |          -114.41 |
| cluster_array_constructor                | 10000 |     0 | 10000 | 100.00% |      0.00 |           218.85 |
| cluster_datapoint_constructor            | 10000 |     0 | 10000 | 100.00% |      0.00 |           -26.46 |
| cluster_cluster_constructor              | 10000 |     0 | 10000 | 100.00% |      0.00 |            71.80 |
| cluster_array_add                        | 10000 |     0 | 10000 | 100.00% |      0.00 |           -47.23 |
| cluster_datapoint_add                    | 10000 |     0 | 10000 | 100.00% |      0.00 |            35.09 |
| cluster_array_remove                     | 10000 |     0 | 10000 | 100.00% |      0.00 |          -172.99 |
| cluster_datapoint_remove                 | 10000 |     0 | 10000 | 100.00% |      0.00 |            70.50 |
------------------------------------------------------------------------------------------------------------
# Test suite: KNN

| Test name                                | Pass  | Fail  | Total | Pass  % | Perf (ms) | Mem (B)          |
|:-----------------------------------------|------:|------:|------:|--------:|----------:|-----------------:|
| knn_array_knn_algorithm                  | 10000 |     0 | 10000 | 100.00% |      3.60 |          2048.45 |
| knn_datapoint_knn_algorithm              | 10000 |     0 | 10000 | 100.00% |      3.53 |           796.45 |
------------------------------------------------------------------------------------------------------------
# Test suite: CanvasDataPoint

| Test name                                | Pass  | Fail  | Total | Pass  % | Perf (ms) | Mem (B)          |
|:-----------------------------------------|------:|------:|------:|--------:|----------:|-----------------:|
| datapoint_scalar_constructor             | 10000 |     0 | 10000 | 100.00% |      0.00 |           -21.00 |
| datapoint_array_constructor              | 10000 |     0 | 10000 | 100.00% |      0.00 |            12.35 |
| datapoint_datapoint_constructor          | 10000 |     0 | 10000 | 100.00% |      0.00 |           -15.01 |
| datapoint_get_neighbours                 | 10000 |     0 | 10000 | 100.00% |      0.00 |           -34.26 |
